time,actual_x,actual_y,plan_x,plan_y,error_m
2025-11-29 17:01:35.892,19.453,21.27,19.453,21.27,0.0
2025-11-29 17:01:36.896,19.453,21.27,19.453,21.27,0.0
2025-11-29 17:01:37.897,19.449,21.074,19.525,21.108,0.083
2025-11-29 17:01:38.897,19.445,20.88,19.597,20.947,0.166
2025-11-29 17:01:39.997,19.393,20.652,19.673,20.776,0.307
2025-11-29 17:01:40.997,19.499,20.208,19.728,20.652,0.499
2025-11-29 17:01:42.097,19.557,20.011,19.728,20.652,0.664
2025-11-29 17:01:43.104,19.629,19.726,19.728,20.652,0.931
2025-11-29 17:01:44.197,19.746,19.155,19.728,20.652,1.497
2025-11-29 17:01:45.297,19.748,18.979,19.728,20.652,1.673
2025-11-29 17:01:46.297,19.793,18.605,19.728,20.652,2.049
2025-11-29 17:01:47.397,19.802,18.423,19.728,20.652,2.231
2025-11-29 17:01:48.496,19.811,18.026,19.728,20.652,2.627
2025-11-29 17:01:49.497,19.82,17.638,19.728,20.652,3.016
2025-11-29 17:01:50.499,19.823,17.458,19.728,20.652,3.195
2025-11-29 17:01:51.596,19.831,17.114,19.728,20.652,3.539
2025-11-29 17:01:52.596,19.83,16.929,19.728,20.652,3.724
2025-11-29 17:01:53.596,19.831,16.561,19.728,20.652,4.092
2025-11-29 17:01:54.596,19.821,16.2,19.728,20.652,4.453
2025-11-29 17:01:55.596,19.819,16.017,19.728,20.652,4.636
2025-11-29 17:01:56.597,19.817,15.658,19.728,20.652,4.995
2025-11-29 17:01:57.603,19.816,15.254,19.728,20.652,5.399
2025-11-29 17:01:58.697,19.782,15.01,19.728,20.652,5.643
2025-11-29 17:01:59.697,19.715,14.849,19.728,20.652,5.803
2025-11-29 17:02:00.797,19.537,14.589,19.728,20.652,6.066
2025-11-29 17:02:01.897,19.433,14.49,19.728,20.652,6.169
2025-11-29 17:02:02.997,19.16,14.33,19.728,20.652,6.348
2025-11-29 17:02:04.097,18.918,14.222,19.728,20.652,6.481
2025-11-29 17:02:05.196,18.626,14.128,19.728,20.652,6.616
2025-11-29 17:02:06.297,18.435,14.099,19.728,20.652,6.68
2025-11-29 17:02:07.397,18.219,14.064,19.728,20.652,6.758
2025-11-29 17:02:08.496,18.009,14.042,19.728,20.652,6.83
2025-11-29 17:02:09.497,18.009,14.042,19.728,20.652,6.83
2025-11-29 17:02:10.597,18.009,14.042,19.728,20.652,6.83
2025-11-29 17:02:11.597,18.009,14.042,19.728,20.652,6.83
2025-11-29 17:02:12.696,17.035,13.289,19.728,20.652,7.84
2025-11-29 17:02:13.697,17.0,13.146,19.728,20.652,7.986
2025-11-29 17:02:14.697,16.969,12.849,19.728,20.652,8.276
2025-11-29 17:02:15.797,16.966,12.726,19.728,20.652,8.394
2025-11-29 17:02:16.897,16.991,12.354,19.728,20.652,8.738
2025-11-29 17:02:17.897,16.993,12.133,19.728,20.652,8.948
2025-11-29 17:02:18.897,17.069,11.831,19.728,20.652,9.213
2025-11-29 17:02:19.996,17.113,11.606,19.728,20.652,9.416
2025-11-29 17:02:20.996,17.141,11.311,19.728,20.652,9.693
2025-11-29 17:02:21.997,17.205,10.884,19.728,20.652,10.088
2025-11-29 17:02:23.097,17.207,10.697,19.728,20.652,10.269
2025-11-29 17:02:24.197,17.225,10.495,19.728,20.652,10.461
2025-11-29 17:02:25.297,17.239,10.108,19.728,20.652,10.834
2025-11-29 17:02:26.397,17.252,9.903,19.728,20.652,11.03
2025-11-29 17:02:27.497,17.29,9.279,19.728,20.652,11.632
2025-11-29 17:02:28.513,17.302,9.071,19.728,20.652,11.832
2025-11-29 17:02:29.597,17.314,8.861,19.728,20.652,12.035
2025-11-29 17:02:30.597,17.338,8.444,19.728,20.652,12.44
2025-11-29 17:02:31.597,17.353,8.233,19.728,20.652,12.644
2025-11-29 17:02:32.697,17.382,7.816,19.728,20.652,13.049
2025-11-29 17:02:33.797,17.392,7.607,19.728,20.652,13.253
2025-11-29 17:02:34.896,17.428,7.277,19.728,20.652,13.571
2025-11-29 17:02:35.897,17.436,7.089,19.728,20.652,13.755
2025-11-29 17:02:36.897,17.456,6.675,19.728,20.652,14.16
2025-11-29 17:02:37.998,17.473,6.288,19.728,20.652,14.54
2025-11-29 17:02:39.097,17.491,6.078,19.728,20.652,14.745
2025-11-29 17:02:40.097,17.504,5.867,19.728,20.652,14.951
2025-11-29 17:02:41.196,17.534,5.383,19.728,20.652,15.426
2025-11-29 17:02:42.197,17.534,5.383,19.728,20.652,15.426
2025-11-29 17:02:43.297,17.559,4.982,19.728,20.652,15.819
2025-11-29 17:02:44.397,17.559,4.982,19.728,20.652,15.819
2025-11-29 17:02:45.497,17.559,4.982,19.728,20.652,15.819
2025-11-29 17:02:46.597,17.559,4.982,19.728,20.652,15.819

Avg error: 7.817m | Max error: 15.819m
